ID,Phase,Area,Task,Description,Status,Priority,Depends On,Location / Evidence
A-04,1 See,Auth,POST /auth/register,"Four tables written in one transaction; a partial write would leave an identity that cannot sign in and cannot be recreated. Registration is unrestricted (local tool); a duplicate email surfaces from the unique constraint as 409, not from a prior lookup.",Done,P0,"A-01,A-02","internal/auth/auth.go, httpapi/auth.go"
A-05,1 See,Auth,POST /auth/login,"Unknown address and wrong password return the same error, and the unknown case still runs a verification against a dummy hash so it cannot be timed apart. Lockout is checked before the password and counted in Postgres, not a cache.",Done,P0,"A-02,A-03",internal/auth/auth.go
A-06,1 See,Auth,Session resolution for every request,The generated security handler resolves the cookie and puts the user id on the context. Handlers never take a user id from a parameter.,Done,P0,A-03,httpapi/security.go
A-07,1 See,Auth,GET /auth/session,"Returns the profile and the session making the request, with isCurrent set. Reads the session from the same list /auth/sessions returns so last_seen_at cannot disagree between them.",Done,P0,A-06,httpapi/auth_sessions.go
A-08,1 See,Auth,DELETE /auth/session (sign out),"Revokes only the session the request arrived on and expires the cookie with matching attributes, which some browsers require before they will drop it. Other browsers stay signed in.",Done,P0,A-06,httpapi/auth_sessions.go
A-09,1 See,Auth,Session management,List plus revoke. Revoking is idempotent for a session that is yours (COALESCE keeps the original revocation time so the row still matches) and 404 for one that is not - verified for all three cases.,Done,P1,A-06,"httpapi/auth_sessions.go, db/queries/auth.sql"
A-10,1 See,Auth,Sign-in method management,"List plus unlink. The 409 on the last method comes from the database trigger rather than a count taken first, so a concurrent unlink cannot slip between check and delete. Verified: 409 on the last, 404 on an unknown id.",Done,P1,A-06,httpapi/auth_sessions.go
A-11,1 See,Auth,Google Sign-In,"OIDC via go-oidc: discovery is lazy so the server starts without Google reachable, the ID token is verified against Google's published keys, and the nonce this server issued is checked to stop a token obtained elsewhere being replayed. Needs only GOOGLE_CLIENT_ID, GOOGLE_CLIENT_SECRET, GOOGLE_REDIRECT_URL.",Done,P1,A-06,"internal/auth/google.go, federated.go, httpapi/auth_google.go"
A-12,1 See,Auth,Link a second sign-in method,"Achieved by A-11 rather than a separate endpoint: a first Google sign-in links to an existing account when the provider vouches for a verified email that account already uses, and creates one otherwise. Linking on an unverified email is refused - that is an account-takeover route.",Done,P1,A-11,internal/auth/federated.go resolveAccountFor
A-13,1 See,Auth,Expired session sweep,"Daily asynq schedule on the backfill queue, which must never delay ingestion. Revoked sessions survive a seven-day grace so 'when did I sign out of that machine' stays answerable. Scheduler and server are separate so several workers do not each enqueue it.",Done,P2,"F-14,A-03","apps/worker/internal/tasks/auth.go, worker/cmd"
A-14,1 See,Auth,Password rehash on sign-in,"Best effort on a successful sign-in - the one moment the plaintext exists to re-hash with. A failure here must not stop a correct password from working, and the next sign-in tries again.",Done,P3,A-05,internal/auth/auth.go SignInWithPassword
R-01,1 See,API,GET /contexts,"List the context tree, parents before children then by position. Declared and routed; answers 501. Query already generated.",Not Started,P0,"A-06,F-05",db/queries/contexts.sql
R-02,1 See,API,GET /contexts/{id},One context. Declared and routed; answers 501.,Not Started,P1,R-01,
R-03,1 See,API,GET /accounts,"Connected sources with their reliability tier, which a client must show wherever it shows data derived from them.",Not Started,P1,"A-06,F-05",db/queries/accounts.sql
R-04,1 See,API,GET /signals (timeline),"contextIds is required by the contract - there is deliberately no unfiltered signal listing. Newest first by occurrence, not ingestion.",Not Started,P0,"A-06,C-05",db/queries/signals.sql
C-01,1 See,Connectors,Google OAuth for data access,"A flow separate from sign-in: Gmail and Calendar scopes with offline access, refresh token encrypted into accounts.credentials_enc. Its lifetime is the opposite of a session's - it must keep working unattended for months.",Not Started,P0,"A-11,X-01",
C-02,1 See,Connectors,Gmail adapter,"Delta sync on historyId held in accounts.sync_cursor. A full mailbox re-fetch is a defect, not a fallback.",Not Started,P0,"C-01,C-05",
C-03,1 See,Connectors,Google Calendar adapter,Delta sync on syncToken. Produces calendar_event signals and events.,Not Started,P1,"C-01,C-05",
C-04,1 See,Connectors,Manual entry source,"Every context must stay usable with manual sources alone, so a dead connector degrades the system rather than breaking it. The seed already creates a manual account.",Not Started,P1,R-04,
C-05,1 See,Ingestion,Idempotent signal ingestion,"Unique on (account_id, external_id); content_hash keys the extraction cache; a trigger makes payload, external_id and occurred_at immutable after insert. Schema and the pure domain helpers are done; no adapter writes through them yet.",In Progress,P0,F-04,"internal/domain/signal.go, db/migrations/00008"
C-06,1 See,Connectors,Source reliability in the interface,accounts.reliability must be visible wherever derived data is shown. A report generated while a source was failing has to say so.,Not Started,P1,"R-03,W-04",
RT-01,1 See,Routing,Rule matching,"Pure function over (facts, rules), cheapest match type first, deterministic regardless of the order rows come back. Returns nothing when no rule matches, which is the only condition under which a model call is permitted.",Done,P0,,internal/domain/routing.go
RT-02,1 See,Routing,Persist routing assignments,Write matches to signal_contexts with confidence and assigned_by so a misfiling can be traced to the rule that caused it.,Not Started,P0,"RT-01,C-05",db/queries/routing.sql
RT-03,1 See,Routing,Manual triage queue,Signals the router was unsure about. Needs the confidence threshold from open question 1; the partial index already exists.,Blocked,P1,RT-02,OQ-1
W-01,1 See,Web,Application shell,"App Router layout with navigation: dashboard, work items, schedule, reports, audit log, settings (autonomy, connections).",Done,P1,,apps/web/src/app/(app)
W-02,1 See,Web,Sign-in and registration screens,"Wired to the real API through the generated client, not to fixtures.",Done,P0,"A-04,A-05",apps/web/src/app/(auth)
W-03,1 See,Web,Replace fixtures with live data,28 files still read from src/lib/mock. Each screen moves across as its endpoint is implemented; this row is done when the mock module is deleted.,In Progress,P0,"R-01,R-03,R-04",apps/web/src/lib/mock
W-04,1 See,Web,Signal timeline,The first screen that has to be reliable. Phase 1 is worthless if this is not trustworthy.,Not Started,P0,"R-04,W-03",
W-05,1 See,Web,"Designed empty, loading and error states",Every list needs all three. A dashboard whose source was failing must say so.,Not Started,P1,W-03,
E-01,2 Understand,Extraction,"Derive tasks, events and commitments","claude-sonnet-5 with structured outputs, never prose parsing. A pure function of (signal, prompt version) so it can be re-run over history without loss.",Not Started,P0,"C-02,RT-02",ADR 0003
E-02,2 Understand,Extraction,Extraction cache,Keyed on content_hash so re-running over unchanged signals costs nothing.,Not Started,P0,E-01,
E-03,2 Understand,Extraction,Prompt caching,"A cost requirement, not an optimisation: stable prefix first, volatile signal last. Assert cache_read_input_tokens is above zero - a silent cache miss is the likeliest cause of a blown budget.",Not Started,P0,E-01,
E-04,2 Understand,Extraction,Batch backfills,Re-extraction over historical signals goes through the Batch API at half cost. Only in-session work is latency-sensitive.,Not Started,P2,E-01,
E-05,2 Understand,Routing,Model fallback for unmatched signals,"claude-haiku-4-5, writing assigned_by = model with a confidence so every model-assigned route is auditable.",Not Started,P1,RT-02,ADR 0003
E-06,2 Understand,Work items,Commitments tracking,The highest-value table in the system. Confirmed on first detection - commitments.is_confirmed already encodes that decision.,Not Started,P0,E-01,
E-07,2 Understand,Work items,Reminders,"Scheduled nudges against a task, event or commitment. Exactly one target per row, already constrained.",Not Started,P1,E-06,
E-08,2 Understand,Memory,Memory notes and retrieval,pgvector similarity within a context. The asset that makes the system progressively more useful; the type registration on the pool is already wired.,Not Started,P2,E-01,platform/postgres
D-01,3 Draft,Sessions,Work sessions,"The clock-in. Scopes which contexts agents may touch. No agent runs outside one - not from a cron, a webhook or a request handler.",Not Started,P0,E-01,
D-02,3 Draft,Agents,Runs and step trail,"Every tool call gets a run_steps row with input, output and duration. Without it agent failures are unexplainable.",Not Started,P0,D-01,
D-03,3 Draft,Review,Proposed actions and review queue,Nothing reaches the outside world except through proposed_actions then executions. Keyboard-first batch approval is the most-used interaction in the product.,Not Started,P0,D-02,
D-04,3 Draft,Review,Execution with undo,Every execution stores an undo token or explains in result why none exists.,Not Started,P0,D-03,
D-05,3 Draft,Review,End-of-session report,"What was done, what waits, what is blocked, what is due next.",Not Started,P1,D-01,
D-06,3 Draft,Autonomy,Hard guard on the auto level,The enum may contain auto; no branch may act on it before Phase 4. A guard plus a standing test is expected and does not exist yet.,Not Started,P0,D-03,CLAUDE.md
T-01,4 Act,Autonomy,Autonomy ladder,"Levels rise only on accumulated autonomy_evidence, per (context, action_type). Never a global flag.",Not Started,P1,D-06,
T-02,4 Act,Autonomy,Per-action upgrade thresholds,action_types.risk and upgrade_threshold already make the threshold a property of the action type. The numbers are still open - see OQ-2.,Blocked,P2,T-01,OQ-2
T-03,4 Act,Connectors,Zalo Official Account,The only Zalo surface with an official API. Zalo personal has none and is permanently out of scope.,Not Started,P3,C-05,
X-01,Cross-cutting,Security,Credential encryption at rest,"CREDENTIALS_ENCRYPTION_KEY is parsed and length-checked at startup but nothing uses it. Needed before any connector token is written: accounts.credentials_enc must never be logged, returned by an API response, or included in a prompt. A prerequisite of C-01, not a follow-up.",Not Started,P0,,internal/config
X-02,Cross-cutting,Cost,Token budget enforcement,"Budget is per work session (work_sessions.token_budget) with spend recorded per run. Exceeding it must degrade, not fail: routing and extraction continue, drafting stops and the session says why.",Blocked,P1,D-01,OQ-5
X-03,Cross-cutting,Audit,Audit log writes,"The table exists and nothing writes to it. Sign-in, sign-out, approvals and executions all belong in it.",Not Started,P1,A-04,
X-04,Cross-cutting,Docs,Keep documents and schema in step,"Three drifts have already been found and fixed this way: every table carries user_id (false), enum convention (text and CHECK versus native), and three open questions already answered by the schema. Worth a recurring pass.",In Progress,P2,,
